t_mono_s,v_bus,i,p
# start 2026-09-25T19:46:02 mono=606.1 interval=10.0 threshold=9.6 count=3
13156.5,11.325,-0.377,-4.27
13166.5,11.324,-0.377,-4.27
13176.5,11.323,-0.378,-4.28
13186.5,11.322,-0.375,-4.24
13196.5,11.321,-0.373,-4.23
13206.5,11.320,-0.374,-4.24
13216.5,11.319,-0.375,-4.24
13226.5,11.319,-0.374,-4.23
13236.5,11.317,-0.375,-4.24
13246.5,11.317,-0.384,-4.35
13256.5,11.316,-0.378,-4.27
13266.5,11.315,-0.376,-4.26
13276.5,11.314,-0.376,-4.25
13286.5,11.312,-0.376,-4.26
13296.5,11.312,-0.376,-4.25
13306.5,11.310,-0.377,-4.26
13316.5,11.310,-0.375,-4.24
13326.5,11.308,-0.377,-4.26
13336.5,11.308,-0.375,-4.24
13346.5,11.307,-0.377,-4.26
13356.5,11.307,-0.377,-4.26
13366.5,11.305,-0.377,-4.26
13376.5,11.304,-0.376,-4.25
13386.5,11.302,-0.378,-4.27
13396.5,11.302,-0.375,-4.24
13406.5,11.301,-0.376,-4.25
13416.5,11.300,-0.377,-4.26
13426.5,11.300,-0.377,-4.26
13436.5,11.298,-0.378,-4.27
13446.5,11.298,-0.375,-4.24
13456.5,11.296,-0.375,-4.24
13466.5,11.296,-0.376,-4.24
13476.5,11.294,-0.375,-4.23
13486.5,11.295,-0.376,-4.24
13496.5,11.293,-0.379,-4.28
13506.5,11.292,-0.377,-4.25
13516.5,11.292,-0.377,-4.25
13526.5,11.290,-0.379,-4.28
13536.5,11.290,-0.378,-4.27
13546.5,11.288,-0.377,-4.25
13556.5,11.288,-0.376,-4.24
13566.5,11.287,-0.377,-4.26
13576.5,11.285,-0.376,-4.24
13586.5,11.284,-0.377,-4.26
13596.5,11.284,-0.379,-4.27
13606.5,11.282,-0.378,-4.27
13616.5,11.282,-0.377,-4.25
13626.5,11.281,-0.380,-4.28
13636.5,11.280,-0.374,-4.22
13646.5,11.279,-0.375,-4.23
13656.5,11.278,-0.377,-4.25
13666.5,11.278,-0.383,-4.31
13676.5,11.275,-0.379,-4.27
13686.5,11.275,-0.375,-4.23
13696.5,11.274,-0.375,-4.23
13706.5,11.272,-0.377,-4.25
13716.5,11.272,-0.377,-4.25
13726.5,11.271,-0.376,-4.24
13736.5,11.269,-0.379,-4.27
13746.5,11.268,-0.379,-4.27
13756.5,11.268,-0.377,-4.25
13766.5,11.266,-0.376,-4.24
13776.5,11.266,-0.379,-4.27
13786.5,11.265,-0.374,-4.22
13796.5,11.263,-0.377,-4.25
13806.5,11.263,-0.375,-4.22
13816.5,11.263,-0.378,-4.25
13826.5,11.261,-0.376,-4.24
13836.5,11.260,-0.378,-4.26
13846.5,11.259,-0.379,-4.27
13856.5,11.258,-0.377,-4.24
13866.5,11.256,-0.377,-4.25
13876.5,11.256,-0.376,-4.23
13886.5,11.256,-0.376,-4.23
13896.5,11.255,-0.378,-4.25
13906.5,11.253,-0.376,-4.23
13916.5,11.253,-0.376,-4.23
13926.5,11.251,-0.377,-4.24
13936.5,11.250,-0.378,-4.25
13946.5,11.249,-0.378,-4.25
13956.5,11.247,-0.377,-4.24
13966.5,11.246,-0.378,-4.25
13976.5,11.247,-0.378,-4.25
13986.5,11.246,-0.377,-4.24
13996.5,11.244,-0.379,-4.26
14006.5,11.243,-0.377,-4.24
14016.5,11.242,-0.377,-4.24
14026.5,11.242,-0.376,-4.23
14036.5,11.240,-0.377,-4.23
14046.5,11.239,-0.376,-4.22
